time/iterations,time/time_elapsed,act/calibrate_share,ops/critical_on_time_share,rollout/ep_rew_mean,ops/critical_due,ops/brownout_steps,act/executor_switches,act/idle_share,ops/jobs_completed,act/conflicts_repaired,ops/blocked_commands,ops/episodes,ops/min_soc_pct,rollout/ep_len_mean,events/add_jobs,events/outage,ops/below_reserve_steps,ops/revenue_usd,act/job_share,ops/work_lost_steps,events/skipped,time/fps,ops/completed_share,ops/critical_done_on_time,ops/jobs_due_missed,events/close_downlink,time/total_timesteps,act/downlink_slots_used,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss
12,1719,0.14275896990740738,0.6744011976047904,2966.5555479166665,334.0,0.0,312.75,0.7244646990740742,968.75,636.0,0.0,48,45.4255555,288.0,0.0,15.5,0.0,23794.0775,0.13277633101851852,73.25,34.25,8,0.8019453642384107,225.25,239.25,9.25,39168,167.5,1050.9396209716797,0.015026396399156915,0.2,44,0.2703993055555556,-32.831658522288,0.9943349361419678,3e-05,0.010612556,573.728515625
13,1871,0.14219835069444445,0.7013473053892215,2996.4715365384614,334.0,0.0,300.25,0.7231626157407408,992.75,691.75,0.0,52,46.32502925,288.0,0.0,13.75,0.0,24377.590000000004,0.13463903356481483,58.75,31.0,8,0.8218129139072847,234.25,215.25,8.25,40320,185.5,840.4677208794487,0.013222221621415682,0.2,48,0.24674479166666666,-32.82469871309068,0.9947865605354309,3e-05,0.03926744,332.18572998046875
14,2024,0.13856336805555555,0.6803892215568862,3012.5320589285716,334.0,0.0,308.0,0.7274124710648149,981.25,645.25,0.0,56,45.49137425,288.0,0.0,13.5,0.0,24081.885000000002,0.13402416087962965,67.25,38.0,7,0.8122930463576159,227.25,226.75,9.25,41472,176.25,912.6253221299913,0.00965095952981048,0.2,52,0.228515625,-32.9190247853597,0.9951767325401306,3e-05,0.04119654,347.69256591796875
15,2179,0.13821976273148145,0.6931137724550898,3030.8325133333333,334.0,0.0,306.25,0.7274486400462963,984.0,668.75,0.0,60,45.95953225,288.0,0.0,12.25,0.0,24278.887499999997,0.13433159722222224,69.75,30.0,7,0.8145695364238411,231.5,224.0,7.75,42624,183.0,894.6921641031901,0.00678957980643544,0.2,56,0.22721354166666666,-33.00027412838406,0.9952844381332397,3e-05,0.020965245,476.7051086425781
16,2333,0.13512731481481483,0.6908682634730539,3047.0225171875,334.0,0.0,299.0,0.730685763888889,984.75,663.0,0.0,64,46.76362575,288.0,0.0,12.5,0.0,24178.5075,0.1341869212962963,64.5,35.25,7,0.8151903973509934,230.75,223.25,8.0,43776,182.25,899.3302510579427,0.022162229986861348,0.2,60,0.3177083333333333,-32.77011654112074,0.9962310791015625,3e-05,0.05086141,496.6982116699219
17,2492,0.14143880208333331,0.7013473053892215,3063.3247323529413,334.0,0.0,310.5,0.7242476851851852,985.5,683.25,0.0,68,45.06005875,288.0,0.0,16.0,0.0,24161.0175,0.13431351273148145,72.25,40.25,7,0.8158112582781456,234.25,222.5,6.5,44928,183.0,764.0055643717448,0.021906371383617323,0.2,64,0.345703125,-32.421225017971466,0.9966858625411987,3e-05,0.051765826,321.9849853515625
18,2648,0.14787688078703703,0.6953592814371258,3077.6435625,334.0,0.0,311.25,0.7168330439814815,996.5,733.75,0.0,72,44.614180999999995,288.0,0.0,15.0,0.0,24333.8675,0.13529007523148148,63.0,31.0,7,0.8249172185430463,232.25,211.5,8.25,46080,187.75,733.2291887071398,0.013075264778712558,0.2,68,0.3365885416666667,-32.239940802256264,0.9970669150352478,3e-05,0.08520564,261.21392822265625
19,2807,0.14393446180555555,0.7208083832335329,3099.347598684211,334.0,0.0,318.0,0.7199074074074074,1003.75,755.25,0.0,76,46.240643500000004,288.0,0.0,13.75,0.0,24760.775,0.13615813078703703,59.75,36.5,7,0.8309188741721854,240.75,204.25,10.25,47232,194.75,923.6831495496962,0.0290999765921798,0.2,72,0.2836371527777778,-32.41790294647217,0.9960817694664001,3e-05,0.036822762,469.53436279296875
20,2965,0.17699291087962962,0.7305389221556886,3118.81202625,334.0,0.0,339.5,0.6861436631944444,1016.25,839.0,0.0,80,43.7555555,288.0,0.0,13.0,0.0,24914.865,0.13686342592592593,50.5,32.25,7,0.8412665562913908,244.0,191.75,6.5,48384,200.25,737.9163055419922,0.04689752230317228,0.2,76,0.3645833333333333,-32.163449128468834,0.9968920946121216,3e-05,0.14559156,389.4234924316406
21,3123,0.19100839120370372,0.7342814371257484,3137.5180988095244,334.0,0.0,335.75,0.6717664930555556,1021.75,870.75,0.0,84,45.191842,288.0,0.0,9.75,0.0,25103.955,0.13722511574074076,47.0,35.5,7,0.8458195364238411,245.25,186.25,9.5,49536,205.5,631.7826012505425,0.1563710738490853,0.2,80,0.6197916666666666,-35.30499945746528,0.997007429599762,3e-05,0.13077658,298.1171569824219
22,3285,0.19495081018518517,0.7395209580838324,3156.9033352272727,334.0,0.0,321.75,0.6674623842592592,1028.75,854.0,0.0,88,44.241110750000004,288.0,0.0,14.75,0.0,25194.33,0.13758680555555555,43.25,29.75,7,0.851614238410596,247.0,179.25,10.75,50688,208.75,639.309447394477,0.018605106510221958,0.2,84,0.2864583333333333,-35.57443428039551,0.9970106482505798,3e-05,0.015731594,301.7229919433594
23,3511,0.19589120370370366,0.7342814371257486,3172.0196163043474,334.0,0.0,331.5,0.6668294270833333,1019.75,841.5,0.0,92,45.22096474999999,288.0,0.0,14.25,0.0,24942.780000000002,0.13727936921296297,51.0,32.25,7,0.8441639072847682,245.25,188.25,8.5,51840,203.5,586.951788160536,-0.00024832720454368327,0.2,88,0.1293402777777778,-35.4302789900038,0.9978043437004089,3e-05,0.006396347,279.85491943359375
24,3753,0.19563802083333334,0.717814371257485,3180.808680208333,334.0,0.0,329.25,0.6678602430555556,1010.75,868.75,0.0,96,45.25736825,288.0,0.0,13.5,0.0,24871.965,0.1365017361111111,50.25,30.5,7,0.8367135761589404,239.75,197.25,6.25,52992,195.5,763.1065877278646,0.003610270796343684,0.2,92,0.12890625,-35.39873335096571,0.9973182678222656,3e-05,0.010116069,347.3189392089844
25,3918,0.2037941261574074,0.717814371257485,3189.4919189999996,334.0,0.0,318.25,0.6588179976851852,1018.75,874.0,0.0,100,45.148157749999996,288.0,0.0,16.75,0.0,25026.465,0.13738787615740738,50.75,34.0,7,0.8433360927152318,239.75,189.25,7.25,54144,204.75,730.5397466023763,0.0047059820499271154,0.2,96,0.076171875,-35.40678458743625,0.9975637793540955,3e-05,0.01188373,355.4076843261719
26,4077,0.21151620370370372,0.7282934131736527,3219.2075820000005,334.0,0.0,322.75,0.6505533854166666,1028.5,904.75,0.0,104,44.782368250000005,288.0,0.0,10.75,0.0,25283.47,0.13793041087962962,46.0,36.25,7,0.8514072847682119,243.25,179.5,9.25,55296,211.0,779.5653873019749,0.00938303406453795,0.2,100,0.138671875,-35.72314018673367,0.99733966588974,3e-05,0.01640188,360.1490783691406
27,4247,0.21574797453703703,0.7290419161676648,3252.149582,334.0,0.0,331.75,0.6471173321759259,1019.0,905.5,0.0,108,43.455877,288.0,0.0,15.75,0.0,24896.5525,0.13713469328703703,50.25,35.5,7,0.8435430463576159,243.5,189.0,7.75,56448,204.25,802.461666531033,0.0031847028811979624,0.2,104,0.20421006944444445,-35.90810383690728,0.9969574809074402,3e-05,0.027583152,310.3009033203125
28,4410,0.2000144675925926,0.749251497005988,3283.167504,334.0,0.0,314.75,0.6615668402777778,1035.25,939.0,0.0,112,43.78438575,288.0,0.0,14.75,0.0,25241.805,0.13841869212962962,49.25,32.0,7,0.8569950331125827,250.25,172.75,7.75,57600,219.5,716.9583994547526,0.01995877193338755,0.2,108,0.3148871527777778,-35.95565234290229,0.9976524114608765,3e-05,0.019317253,346.84637451171875
29,4572,0.18102575231481483,0.7529940119760479,3316.138925999999,334.0,0.0,331.0,0.6803747106481481,1034.5,945.25,0.0,116,44.74596475,288.0,0.0,15.5,0.0,25276.392499999998,0.13859953703703703,48.0,33.0,7,0.8563741721854303,251.5,173.5,9.25,58752,220.25,874.4314914279514,0.03895735461264849,0.2,112,0.4572482638888889,-34.71384037865533,0.9967823028564453,3e-05,0.026041202,447.9187927246094
30,4733,0.1965964988425926,0.7357784431137725,3343.7626710000004,334.0,0.0,330.25,0.664478443287037,1038.5,964.75,0.0,120,43.930876999999995,288.0,0.0,13.75,0.0,25430.4725,0.13892505787037035,43.0,32.25,7,0.8596854304635763,245.75,169.5,9.0,59904,222.25,603.5537295871311,0.007081142057561212,0.2,116,0.19032118055555555,-34.0756532880995,0.9979320764541626,3e-05,0.03769993,362.4982604980469
31,4897,0.1878074363425926,0.75,3368.3518359999994,334.0,0.0,324.25,0.6737738715277777,1030.25,964.5,0.0,124,44.76052625,288.0,0.0,14.0,0.0,25208.91,0.13841869212962962,49.0,32.75,7,0.8528559602649007,250.5,177.75,12.0,61056,217.0,682.9547390407986,0.007621083214568595,0.2,120,0.12022569444444445,-34.949508137173126,0.9977781772613525,3e-05,0.017385282,263.7552185058594
32,5057,0.20545789930555552,0.7417664670658684,3391.0428560000005,334.0,0.0,329.25,0.6557436342592593,1036.75,992.5,0.0,128,44.7532455,288.0,0.0,11.75,0.0,25261.4025,0.1387984664351852,50.25,36.0,7,0.8582367549668874,247.75,171.25,11.75,62208,220.75,592.2238015068901,0.024512984764037862,0.2,124,0.275390625,-34.583430184258354,0.9981490969657898,3e-05,0.05361337,287.78094482421875
